,gender,age,local_or_non_local,university,current_study,year_of_study,drinking_frequency,drinking_consumption_amount,drinking_frequency_six_servings,type_of_drink,drinking_occasion,drinking_frequency_before_examination,gpa,activity_1,activity_2,academic_achievements,professional_examinations,nationality,drinking_consumption_amount_score,drinking_frequency_score,drinking_frequency_six_servings_score,drinking_frequency_before_examination_score,risk_score
180,Male 男性,18,Local student 本地生,Lingnan University 嶺南大學,Undergraduate student 本科生,1.0,Monthly or less 少於每月,2.2,Less than once per month 少於每月,Whiskey 威士忌,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.02,0.0,0.0,0,0.0,Hong Kong,2,1,1,0,4
181,Male 男性,20,Non-local student 非本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,3.0,2-3 times a week 每週二至三次,8.0,Weekly 每週,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,3.05,0.0,0.0,0,0.0,"Korea, South",4,3,3,1,11
182,Male 男性,21,Non-local student 非本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,3.0,2-3 times a week 每週二至三次,8.0,Weekly 每週,Soju 燒酒,"Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,2.8,0.0,0.0,0,0.0,"Korea, South",4,3,3,1,11
183,Male 男性,21,Non-local student 非本地生,The Hong Kong University of Science and Technology (HKUST) 香港科技大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,8.0,Weekly 每週,Spirits 烈酒,"Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,2.9,1.0,1.0,0,0.0,India,4,2,3,0,9
184,Female 女性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,6.0,Monthly 每月,Spirits 烈酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.2,0.0,0.0,0,0.0,United States,3,2,2,0,7
185,Female 女性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,3.0,Less than once per month 少於每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.45,0.0,0.0,0,0.0,"Korea, South",2,2,1,0,5
186,Female 女性,20,Non-local student 非本地生,The Hong Kong University of Science and Technology (HKUST) 香港科技大學,Undergraduate student 本科生,3.0,2-4 times a month 每月二至四次,5.0,Monthly 每月,Soju 燒酒,"Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,2.9,1.0,0.0,0,0.0,"Korea, South",3,2,2,0,7
187,Female 女性,21,Local student 本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,4.0,2-3 times a week 每週二至三次,4.0,Weekly 每週,Soju 燒酒,"Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.5,1.0,1.0,1,0.0,"Korea, South",2,3,3,0,8
188,Male 男性,22,Non-local student 非本地生,City University of Hong Kong (CityU) 香港城市大學,Undergraduate student 本科生,4.0,2-3 times a week 每週二至三次,7.0,Weekly 每週,Soju 燒酒,"Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,3.3,1.0,0.0,1,0.0,"Korea, South",4,3,3,1,11
189,Male 男性,21,Non-local student 非本地生,City University of Hong Kong (CityU) 香港城市大學,Undergraduate student 本科生,4.0,Never 從來不飲用,0.0,Never 從來不會,I don't consume alcoholic beverage 我不飲用含酒精的飲料,I don't consume alcoholic beverage 我不飲用含酒精的飲料,Never (0%) 從來不會,3.2,0.0,0.0,0,0.0,India,0,0,0,0,0
190,Female 女性,20,Non-local student 非本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,3.0,Never 從來不飲用,0.0,Never 從來不會,I don't consume alcoholic beverage 我不飲用含酒精的飲料,I don't consume alcoholic beverage 我不飲用含酒精的飲料,Never (0%) 從來不會,3.3,1.0,0.0,0,0.0,India,0,0,0,0,0
